https://youtu.be/hM_kdoVOPNc,붉음보다 붉은 꿈,동방홍마향 타이틀,赤より紅い夢,th06_01,
https://youtu.be/fAaAZGffWJs,꽈리처럼 붉은 혼,동방홍마향 1면 필드,ほおずきみたいに紅い魂,th06_02,
https://youtu.be/Igv2SFLFOC0,요마야행,동방홍마향 1면 보스,妖魔夜行,th06_03,
https://youtu.be/8m3oIdo2VFo,루네이트 엘프,동방홍마향 2면 필드,ルーネイトエルフ,th06_04,
https://youtu.be/GPqVPxBIYjc,말괄량이 연랑,동방홍마향 2면 보스,おてんば恋娘,th06_05,
https://youtu.be/ybcv675fmpA,상해홍차관 ~ Chinese Tea,동방홍마향 3면 필드,上海紅茶館　～ Chinese Tea,th06_06,
https://youtu.be/HWzgN3fbYys,메이지 17년의 상하이 앨리스,동방홍마향 3면 보스,明治十七年の上海アリス,th06_07,
https://youtu.be/2UChp17nMeA,브와르 마법 도서관,동방홍마향 4면 필드,ヴワル魔法図書館,th06_08,
https://youtu.be/A2tg7-iqihs,락드 걸 ~ 소녀밀실,동방홍마향 4면 보스,ラクトガール　～ 少女密室,th06_09,
https://youtu.be/WTWhuye78-s,메이드와 피의 회중시계,동방홍마향 5면 필드,メイドと血の懐中時計,th06_10,
https://youtu.be/twdEfzXe0S0,달시계 ~ 루나 다이얼,동방홍마향 5면 보스,月時計　～ ルナ・ダイアル,th06_11,
https://youtu.be/VkG6d531l4g,체페슈의 어린 후예,동방홍마향 6면 필드,ツェペシュの幼き末裔,th06_12,
https://youtu.be/QrQSL6SDGmw,죽은 왕녀를 위한 셉텟,동방홍마향 6면 보스,亡き王女の為のセプテット,th06_13,
https://youtu.be/POLBy91nBOc,마법소녀들의 백년제,동방홍마향 엑스트라 필드,魔法少女達の百年祭,th06_14,
https://youtu.be/IHHm4TKvcQw,U.N.오웬은 그녀인가?,동방홍마향 엑스트라 보스,U.N.オーエンは彼女なのか？,th06_15,
https://youtu.be/rNkiuXmzHPU,붉음보다 덧없는 영원,동방홍마향 엔딩,紅より儚い永遠,th06_16,
https://youtu.be/ja_HmX9whCg,홍루 ~ Eastern Dream…,동방홍마향 스태프롤,紅楼　～ Eastern Dream...,th06_17,
https://youtu.be/bRizHrDyHdg,요요몽 ~ Snow or Cherry Petal,동방요요몽 타이틀,妖々夢　～ Snow or Cherry Petal,th07_01,
https://youtu.be/1V3XK48RhQA,무하유지향 ~ Deep Mountain,동방요요몽 1면 필드,無何有の郷　～ Deep Mountain,th07_02,
https://youtu.be/fZhCCYvVBro,크리스탈라이즈 실버,동방요요몽 1면 보스,クリスタライズシルバー,th07_03,
https://youtu.be/zQAjhG70q4M,토오노 환상 이야기,동방요요몽 2면 필드,遠野幻想物語,th07_04,
https://youtu.be/wtU0PnNvbWE,댜오예쭝(withered leaf),동방요요몽 2면 보스,ティアオイエツォン(withered leaf),th07_05,
https://youtu.be/QvjZvdygjNM,부쿠레슈티의 인형사,동방요요몽 3면 필드,ブクレシュティの人形師,th07_06,
https://youtu.be/ykoWMFsopaM,인형재판 ~ 사람의 형상을 가지고 노는 소녀,동방요요몽 3면 보스,人形裁判　～ 人の形弄びし少女,th07_07,
https://youtu.be/AbTAt4aDvuo,천공의 꽃의 도시,동방요요몽 4면 필드,天空の花の都,th07_08,
https://youtu.be/nZshdjwTPLY,유령악단 ~ Phantom Ensemble,동방요요몽 4면 보스,幽霊楽団　～ Phantom Ensemble,th07_09,
https://youtu.be/7aie-ga230E,동방요요몽 ~ Ancient Temple,동방요요몽 5면 필드,東方妖々夢　～ Ancient Temple,th07_10,
https://youtu.be/_27AUDeupFs,"히로아리, 괴조를 쏘다 ~ Till When?",동방요요몽 5면 보스,広有射怪鳥事　～ Till When?,th07_11,
https://youtu.be/EXjBsP2kDCg,얼티밋 트루스,동방요요몽 6면 필드,アルティメットトゥルース,th07_12,
https://youtu.be/daJQef6RFHY,"유아하게 피어라, 묵염의 벚꽃 ~ Border of Life",동방요요몽 6면 보스,幽雅に咲かせ、墨染の桜　～ Border of Life,th07_13,
https://youtu.be/Ipz_upJAWhI,보더 오브 라이프,동방요요몽 6면 반혼접,ボーダーオブライフ,th07_14,
https://youtu.be/izSZThzTmrE,요요발호,동방요요몽 엑스트라 필드,妖々跋扈,th07_15,
https://youtu.be/4-jhonUDLfs,소녀환장 ~ Necro-Fantasy,동방요요몽 엑스트라 보스,少女幻葬　～ Necro-Fantasy,th07_16,
https://youtu.be/iV7br8EkjLA,요요발호 ~ Who done it!,동방요요몽 판타즘 필드,妖々跋扈　～ Who done it!,th07_17,
https://youtu.be/y7XrESnbvWg,네크로 판타지아,동방요요몽 판타즘 보스,ネクロファンタジア,th07_18,
https://youtu.be/5HilwxwBNS8,봄바람의 꿈,동방요요몽 엔딩,春風の夢,th07_19,
https://youtu.be/w6QJVsb2V64,사쿠라사쿠라 ~ Japanize Dream...,동방요요몽 스태프롤,さくらさくら　～ Japanize Dream...,th07_20,
https://youtu.be/DEDQh-Y8buI,영야초 ~ Eastern Night,동방영야초 타이틀,永夜抄　～ Eastern Night,th08_01,
https://youtu.be/vhBM-wpDTb8,환시의 밤 ~ Ghostly Eyes,동방영야초 1면 필드,幻視の夜　～ Ghostly Eyes,th08_02,
